Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/30/2021,Wal-Mart,WAL-MART SUPERCENTER#1213,5.58,debit,Shopping,TD CASH BACK VISA* CARD,,
9/30/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,4.7,debit,Groceries,TD CASH BACK VISA* CARD,,
9/29/2022,Learning Car,Learning Car,100,debit,Auto & Transport,Cash,,
9/29/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,24.01,debit,Groceries,TD CASH BACK VISA* CARD,,
9/29/2022,SQ *LMINH'S,SQ *LMINH'S,17.88,debit,Restaurants,TD CASH BACK VISA* CARD,,
9/29/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
9/29/2022,ACCT BAL REBATE,ACCT BAL REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
9/29/2022,Restaurant,Restaurant,16,debit,Restaurants,Cash,,
9/29/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,10.73,debit,Groceries,TD CASH BACK VISA* CARD,,
9/29/2022,PRICESMART FOODS #2281,PRICESMART FOODS #2281,2.67,debit,Groceries,TD CASH BACK VISA* CARD,,
9/29/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
9/29/2021,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
9/29/2021,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
9/29/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,13.55,debit,Groceries,TD CASH BACK VISA* CARD,,
9/29/2021,Doordash,Doordash,11.01,debit,Restaurants,Cash,,
9/29/2021,Buck or two plus,Buck or two plus,7.79,debit,Shopping,Cash,,
9/29/2021,OOMOMO METROTOW _F,OOMOMO METROTOW _F,2.24,debit,Shopping,Cash,,
9/29/2021,BONUS INTEREST,BONUS INTEREST,0.45,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
9/29/2021,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
9/28/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,12.01,debit,Groceries,TD CASH BACK VISA* CARD,,
9/28/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,5.49,debit,Groceries,TD CASH BACK VISA* CARD,,
9/28/2021,Cheesesteak,Cheesesteak,19.64,debit,Restaurants,Cash,,
9/28/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,14.15,debit,Restaurants,Cash,,
9/27/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,17.96,debit,Groceries,TD CASH BACK VISA* CARD,,
9/27/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,5.73,debit,Groceries,TD CASH BACK VISA* CARD,,
9/27/2021,Foodcourt,Foodcourt,9.98,debit,Restaurants,Cash,,
9/26/2022,View more SEND E-TFR ***8gV View more SEND E-TFR ***8gV,View more SEND E-TFR ***8gV View more SEND E-TFR ***8gV,50,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/26/2021,Doordash,Doordash,14.47,debit,Restaurants,Cash,,
9/26/2021,Haircut,Haircut,14,debit,Hair,Cash,,
9/26/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,11.3,debit,Groceries,TD CASH BACK VISA* CARD,,
9/26/2021,Maxim bread,Maxim bread,1.95,debit,Groceries,Cash,,
9/25/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,53.45,debit,Groceries,TD CASH BACK VISA* CARD,,
9/24/2021,SoftMoc,SoftMoc,156.79,debit,Clothing,Cash,,
9/24/2021,T & T Supermarket,T&T SUPERMARKET #001,16.01,debit,Groceries,TD CASH BACK VISA* CARD,,
9/24/2021,DOORDASH*TIM HO _V,DOORDASH*TIM HO _V,13.9,debit,Restaurants,Cash,,
9/23/2022,Learning Car,Learning Car,100,debit,Auto & Transport,Cash,,
9/23/2021,Pts Frm,PTS FRM: 00916918662,50,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/23/2021,PTS TO: 00916923283,PTS TO: 00916923283,50,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/23/2021,DOORDASH*MILK & _V,DOORDASH*MILK & _V,15.36,debit,Restaurants,Cash,,
9/22/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.73,debit,Groceries,TD CASH BACK VISA* CARD,,
9/22/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,18.79,debit,Groceries,TD CASH BACK VISA* CARD,,
9/22/2022,KFC METROPOLIS,KFC METROPOLIS,12.06,debit,Fast Food,TD CASH BACK VISA* CARD,,
9/22/2021,PAYMENT - THANK YOU,PAYMENT - THANK YOU,31.11,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
9/22/2021,HO103 TFR-TO C/C,HO103 TFR-TO C/C,31.11,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
9/22/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,16.21,debit,Restaurants,Cash,,
9/22/2021,OOMOMO METROTOW _F,OOMOMO METROTOW _F,8.68,debit,Shopping,Cash,,
9/22/2021,T & T Supermarket,T&T SUPERMARKET #001,5.77,debit,Groceries,TD CASH BACK VISA* CARD,,
9/22/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,2.65,debit,Groceries,TD CASH BACK VISA* CARD,,
9/21/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,369.19,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
9/21/2022,HO025 TFR-TO C/C,HO025 TFR-TO C/C,369.19,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
9/21/2022,REWARDS REDEMPTION,REWARDS REDEMPTION,72,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
9/21/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,13.28,debit,Groceries,TD CASH BACK VISA* CARD,,
9/21/2022,MUCHO BURRITO,MUCHO BURRITO,12.08,debit,Restaurants,TD CASH BACK VISA* CARD,,
9/21/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,7.69,debit,Groceries,TD CASH BACK VISA* CARD,,
9/21/2021,DOORDASH*MEETRI _V,DOORDASH*MEETRI _V,17.53,debit,Restaurants,Cash,,
9/21/2021,Subway,Subway,11.43,debit,Restaurants,Cash,,
9/21/2021,Safeway,Safeway,9.3,debit,Groceries,Cash,,
9/20/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,23.82,debit,Groceries,TD CASH BACK VISA* CARD,,
9/20/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,7.02,debit,Groceries,TD CASH BACK VISA* CARD,,
9/20/2021,CATTLE CAFE _F,SQ *CATTLE CAFE _F,59.92,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/19/2021,OOMOMO METROTOW _F,OOMOMO METROTOW _F,18.48,debit,Shopping,Cash,,
9/19/2021,Real Canadian Superstore,Real Canadian Superstore,14.94,debit,Groceries,Cash,,
9/19/2021,Dollarama,Dollarama,12.04,debit,Shopping,Cash,,
9/19/2021,Tim Horton's,Tim Horton's,9.16,debit,Restaurants,Cash,,
9/18/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,31.11,debit,Groceries,TD CASH BACK VISA* CARD,,
9/18/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,16.21,debit,Restaurants,Cash,,
9/17/2021,Savingsoffer Msp,SavingsOffer$50 MSP,50,credit,Income,TD UNLIMITED CHEQUING ACCOUNT,,
9/17/2021,Doordash,Doordash,14.99,debit,Restaurants,Cash,,
9/17/2021,Uber Eats,Uber Eats,10.91,debit,Restaurants,Cash,,
9/16/2022,Learning Car,Learning Car,100,debit,Auto & Transport,Cash,,
